MATCH,PROBABILITIES,BOTH TEAMS TO SCORE,OVER 2.5,HOME FORM,LINKHOME,AWAY FORM,LINKAWAY,HEAD TO HEAD,LINKHEAD,LINKSTATS
"06/11/2021 [3] West Brom [11] Middlesbrough
","['51', '28', '21', 'H']",['39'],['36'],"['W', 'D', 'D', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=West%20Brom&awayteam=Middlesbrough&league=E1,"['D', 'L', 'W', 'L', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=West%20Brom&awayteam=Middlesbrough&league=E1,"['L', 'W', 'W', 'D', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=West%20Brom&awayteam=Middlesbrough&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=West%20Brom&awayteam=Middlesbrough&league=E1
"06/11/2021 [20] Peterboro [2] Fulham
","['18', '19', '62', 'A']",['61'],['66'],"['D', 'L', 'W', 'D', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Peterboro&awayteam=Fulham&league=E1,"['W', 'L', 'W', 'D', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Peterboro&awayteam=Fulham&league=E1,[],https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Peterboro&awayteam=Fulham&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Peterboro&awayteam=Fulham&league=E1
"06/11/2021 [18] Nott'm Forest [19] Preston
","['44', '29', '27', 'H']",['44'],['38'],"['L', 'L', 'L', 'D', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Nott%27m%20Forest&awayteam=Preston&league=E1,"['L', 'D', 'D', 'D', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Nott%27m%20Forest&awayteam=Preston&league=E1,"['W', 'D', 'L', 'L', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Nott%27m%20Forest&awayteam=Preston&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Nott%27m%20Forest&awayteam=Preston&league=E1
"06/11/2021 [12] Millwall [24] Derby
","['42', '30', '28', 'H']",['41'],['35'],"['L', 'W', 'D', 'W', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Millwall&awayteam=Derby&league=E1,"['W', 'L', 'D', 'L', 'D', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Millwall&awayteam=Derby&league=E1,"['L', 'D', 'D', 'W', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Millwall&awayteam=Derby&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Millwall&awayteam=Derby&league=E1
"06/11/2021 [10] Luton [9] Stoke
","['43', '28', '29', 'D']",['47'],['41'],"['L', 'D', 'D', 'W', 'D', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Luton&awayteam=Stoke&league=E1,"['W', 'L', 'L', 'D', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Luton&awayteam=Stoke&league=E1,"['L', 'L', 'D', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Luton&awayteam=Stoke&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Luton&awayteam=Stoke&league=E1
"06/11/2021 [4] Coventry [15] Bristol City
","['44', '27', '29', 'D']",['50'],['45'],"['W', 'W', 'W', 'W', 'W', 'D']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Coventry&awayteam=Bristol%20City&league=E1,"['W', 'W', 'W', 'L', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Coventry&awayteam=Bristol%20City&league=E1,"['D', 'L', 'W', 'W', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Coventry&awayteam=Bristol%20City&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Coventry&awayteam=Bristol%20City&league=E1
"06/11/2021 [7] Blackburn [17] Sheffield United
","['53', '22', '24', 'H']",['59'],['60'],"['L', 'D', 'W', 'W', 'D', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Blackburn&awayteam=Sheffield%20United&league=E1,"['L', 'D', 'W', 'L', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Blackburn&awayteam=Sheffield%20United&league=E1,"['D', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Blackburn&awayteam=Sheffield%20United&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Blackburn&awayteam=Sheffield%20United&league=E1
"06/11/2021 [14] Birmingham [16] Reading
","['44', '27', '28', 'D']",['48'],['43'],"['L', 'W', 'L', 'D', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Birmingham&awayteam=Reading&league=E1,"['L', 'L', 'W', 'L', 'W', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Birmingham&awayteam=Reading&league=E1,"['W', 'L', 'L', 'W', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Birmingham&awayteam=Reading&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Birmingham&awayteam=Reading&league=E1
"06/11/2021 [23] Barnsley [22] Hull
","['75', '23', '2', 'H']",['7'],['22'],"['L', 'D', 'D', 'L', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Barnsley&awayteam=Hull&league=E1,"['L', 'D', 'L', 'L', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Barnsley&awayteam=Hull&league=E1,"['L', 'D', 'W', 'W', 'L', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Barnsley&awayteam=Hull&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Barnsley&awayteam=Hull&league=E1
"06/11/2021 [6] Blackpool [8] QPR
","['52', '24', '23', 'H']",['52'],['50'],"['L', 'W', 'L', 'W', 'W', 'W']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HRES&thisdate=06/11/2021&hometeam=Blackpool&awayteam=QPR&league=E1,"['W', 'D', 'L', 'L', 'L', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=ARES&thisdate=06/11/2021&hometeam=Blackpool&awayteam=QPR&league=E1,"['L', 'L', 'W', 'L', 'D', 'L']",https://www.footstats.co.uk/pagecontent/inserts/_pred_windows.cfm?analysis=HEAD&thisdate=06/11/2021&hometeam=Blackpool&awayteam=QPR&league=E1,https://www.footstats.co.uk/pagecontent/inserts/_pred_statistics.cfm?thisdate=06/11/2021&hometeam=Blackpool&awayteam=QPR&league=E1
